employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-95822412,Danielle,Johnson,Female,New York,Buffalo,2016-04-16,Customer Service,Help Desk Technician,High School,81552,Good,No,1980-03-10,2021-07-05
00-42868828,John,Taylor,Male,North Carolina,Charlotte,2017-02-09,IT,System Administrator,Bachelor,107520,Good,No,1987-10-18,2019-06-14
00-83197857,Erica,Mcclain,Male,New York,New York City,2016-02-03,Operations,Logistics Coordinator,Bachelor,61104,Good,Yes,1994-06-14,2021-03-06
00-13999315,Brittany,Johnson,Male,New York,Rochester,2016-02-06,Operations,Inventory Specialist,Bachelor,73770,Good,No,1980-05-14,2018-11-06
00-90801586,Jeffery,Wagner,Female,New York,Rochester,2015-01-11,Operations,Operations Analyst,Bachelor,55581,Satisfactory,No,1985-05-03,2017-11-29
00-97226012,Anna,Baldwin,Female,New York,New York City,2022-09-30,Operations,Operations Analyst,Bachelor,73800,Good,Yes,1988-06-26,2023-03-29
00-70291817,Amy,Robinson,Male,New York,Buffalo,2020-08-16,Finance,Accountant,Bachelor,68181,Good,No,1991-08-11,2021-02-12
00-31429110,Joshua,Booth,Female,New York,Buffalo,2022-10-22,Finance,Accounts Payable Specialist,Bachelor,54499,Good,Yes,1995-10-15,2023-04-20
00-30868105,Linda,Wolfe,Male,New York,Buffalo,2017-05-13,Operations,Inventory Specialist,High School,57340,Good,No,2002-06-06,2021-11-15
00-22448136,Joshua,Lewis,Female,New York,Rochester,2018-10-24,Operations,Logistics Coordinator,Bachelor,54065,Good,Yes,1980-12-17,2022-03-30
00-56164955,Matthew,Davis,Female,New York,Buffalo,2021-02-07,Marketing,SEO Specialist,High School,83262,Good,No,1994-03-06,2021-08-06
00-71662963,Michael,Cooper,Female,New York,Buffalo,2020-04-12,HR,Recruiter,High School,61651,Good,No,1974-05-22,2024-01-28
00-84093639,Lindsay,Blair,Male,New York,Rochester,2017-07-28,Operations,Operations Analyst,Bachelor,75509,Good,No,1967-06-21,2018-01-24
00-58537831,David,Nielsen,Female,New York,New York City,2020-01-31,Customer Service,Help Desk Technician,High School,67011,Good,No,2001-08-21,2020-07-29
00-16150444,Andrea,Calderon,Male,Michigan,Grand Rapids,2022-08-29,IT,IT Support Specialist,Bachelor,60136,Good,No,1987-06-17,2023-02-25
00-41244663,Nicole,Ward,Male,New York,Rochester,2023-03-16,Operations,Logistics Coordinator,Bachelor,67552,Satisfactory,Yes,1964-01-08,2023-09-12
00-70855700,Janet,Williams,Male,Michigan,Grand Rapids,2021-03-30,Operations,Inventory Specialist,Bachelor,59934,Good,No,2003-01-21,2021-09-26
00-59684848,Kendra,Galloway,Female,New York,New York City,2018-11-29,Sales,Sales Manager,PhD,104162,Good,No,1963-04-27,2019-12-08
00-96977837,Jesse,Garcia,Male,New York,Rochester,2016-04-17,Customer Service,Customer Service Representative,Bachelor,63873,Good,No,1963-03-01,2023-01-29
00-81691040,Shawn,Flowers,Male,Michigan,Warren,2022-03-05,IT,IT Support Specialist,Bachelor,66250,Excellent,No,1959-07-24,2022-09-01
00-60929647,Mitchell,Clark,Male,New York,Buffalo,2017-04-14,Customer Service,Support Specialist,Bachelor,61729,Satisfactory,No,1973-10-10,2024-06-16
00-84752529,Jacqueline,Sutton,Female,New York,New York City,2017-01-28,Sales,Sales Manager,Master,84046,Satisfactory,Yes,1979-07-25,2022-08-06
00-17507864,Chelsea,Jackson,Male,North Carolina,Raleigh,2017-10-11,Sales,Sales Specialist,PhD,69318,Good,Yes,1994-08-05,2018-04-09
00-52339391,John,Ford,Male,Pennsylvania,Philadelphia,2019-04-15,Sales,Sales Consultant,Bachelor,99002,Satisfactory,No,2002-08-10,2019-10-12
00-86125617,Veronica,Bowman,Male,New York,Buffalo,2023-08-05,Operations,Logistics Coordinator,Bachelor,69163,Good,No,1990-05-12,2024-02-06
