Employee ID,First Name,Last Name,Gender,State,City,Hire Date,Department,Job Title,Education Level,Performance Rating,Overtime,Salary,Birth Date,Termination Date,Adjusted Salary
E00001,Scott,Wright,Male,CA,San Diego,2021-06-10,IT,Developer,Bachelor's Degree,Needs Improvement,No,91962,1985-07-03,,96560
E00002,Lawrence,Watkins,Female,IL,Springfield,2022-03-28,Sales,Sales Representative,High School Diploma,Excellent,No,30046,1987-07-10,,29144
E00003,Joseph,Brown,Male,IL,Springfield,2021-02-26,Sales,Sales Representative,High School Diploma,Satisfactory,No,59270,1987-03-05,,59270
E00004,Richard,Lynch,Male,NY,Buffalo,2017-03-25,Marketing,Marketing Specialist,Associate Degree,Excellent,No,63545,1990-08-04,,60367
E00005,Samuel,Jimenez,Male,NY,New York,2015-09-28,HR,HR Assistant,Associate Degree,Good,Yes,42307,1984-06-10,,42307
E00006,Joshua,Wright,Female,CA,San Diego,2021-07-23,Sales,Sales Manager,Bachelor's Degree,Satisfactory,Yes,79647,1978-11-28,,81120
E00007,William,Gutierrez,Female,TX,Dallas,2022-04-07,IT,Developer,Bachelor's Degree,Needs Improvement,Yes,119510,1986-05-11,,121720
E00008,Alicia,Valenzuela,Male,NY,Rochester,2020-06-07,Finance,Accountant,Bachelor's Degree,Satisfactory,No,79212,1972-04-02,,83172
E00009,Shannon,Campos,Male,NY,New York,2019-07-21,IT,System Admin,Bachelor's Degree,Good,Yes,74809,1978-01-28,,78549
E00010,Terrance,Williams,Male,NY,Buffalo,2021-03-28,HR,HR Manager,Bachelor's Degree,Good,No,66599,1978-08-08,,69928
E00011,Daniel,Leonard,Male,NY,New York,2018-08-14,Finance,Financial Analyst,Master's Degree,Good,Yes,65875,1974-08-19,2021-10-15,72462
E00012,Ashley,Hooper,Male,NY,New York,2024-01-02,Marketing,Marketing Specialist,Associate Degree,Good,Yes,49765,1994-05-18,,49765
E00013,Donald,Mcintosh,Female,NY,Buffalo,2022-05-12,Finance,Accountant,Bachelor's Degree,Satisfactory,Yes,80741,1986-08-07,,82234
E00014,Peter,Gardner,Female,FL,Tampa,2022-01-14,IT,System Admin,Bachelor's Degree,Satisfactory,No,71523,1988-03-04,,72846
E00015,Frederick,Conner,Female,CA,Los Angeles,2015-07-14,Marketing,Marketing Manager,Bachelor's Degree,Satisfactory,Yes,89817,1977-10-14,2016-05-07,91478
E00016,Jacob,Owens,Male,IL,Chicago,2021-12-23,IT,System Admin,Bachelor's Degree,Good,No,55585,1989-02-21,,58364
E00017,Charles,Cole,Male,IL,Chicago,2015-06-17,Marketing,Marketing Manager,Bachelor's Degree,Excellent,Yes,80684,1980-08-23,,84718
E00018,David,Maynard,Female,FL,Tampa,2023-01-11,Finance,Accountant,Bachelor's Degree,Good,Yes,62836,1985-07-08,,63998
E00019,Rita,Bowman,Male,FL,Miami,2023-08-05,Sales,Sales Manager,Bachelor's Degree,Excellent,Yes,85838,1984-03-11,,90129
E00020,Lori,Hughes,Male,IL,Naperville,2015-09-19,Sales,Sales Manager,Bachelor's Degree,Satisfactory,No,81077,1965-11-21,2017-12-18,85130
E00021,Robert,Martinez,Male,NY,Buffalo,2024-04-01,Sales,Sales Manager,Bachelor's Degree,Good,Yes,87077,1988-02-26,,91430
E00022,Bryan,Cabrera,Female,CA,San Francisco,2020-04-11,Finance,Accountant,Bachelor's Degree,Good,No,73428,1986-08-12,,74786
E00023,Brian,Myers,Male,CA,Los Angeles,2022-10-08,IT,System Admin,Bachelor's Degree,Satisfactory,No,65816,1991-10-06,,69106
E00024,Brandon,Wiggins,Male,NY,New York,2022-03-19,Finance,Financial Analyst,Master's Degree,Needs Improvement,No,66884,1993-12-16,,69893
E00025,Donna,Keith,Female,CA,Los Angeles,2017-02-11,Sales,Sales Manager,Bachelor's Degree,Good,No,86516,1970-07-23,,88116
E00026,Brandon,Hardy,Female,TX,Austin,2017-12-18,IT,IT Support,Associate Degree,Excellent,Yes,47455,1989-08-16,,43729
E00027,Sydney,Price,Female,FL,Tampa,2020-02-12,Sales,Sales Representative,High School Diploma,Good,Yes,52621,1997-04-10,,48490
E00028,Justin,Nguyen,Male,NY,New York,2015-12-21,HR,HR Manager,Bachelor's Degree,Excellent,Yes,87759,1974-04-17,,92146
E00029,Nicole,Morris,Male,CA,Los Angeles,2015-06-01,Finance,Financial Analyst,Master's Degree,Good,No,65170,1989-10-03,,68102
E00030,Erica,Greene,Female,IL,Naperville,2023-03-18,IT,Developer,Bachelor's Degree,Satisfactory,No,89214,1996-04-19,,86321
E00031,Brooke,Kirk,Female,CA,San Diego,2015-01-28,Sales,Sales Representative,High School Diploma,Excellent,Yes,44628,1980-01-16,,43289
E00032,Stephanie,Hunt,Male,IL,Springfield,2023-02-02,HR,HR Assistant,Associate Degree,Satisfactory,No,36219,1996-09-12,,34408
E00033,Summer,Sanchez,Female,IL,Springfield,2022-01-17,Marketing,Marketing Specialist,Associate Degree,Satisfactory,No,63978,1988-12-25,,62058
E00034,Lori,Smith,Female,NY,Rochester,2016-09-11,IT,Developer,Bachelor's Degree,Good,Yes,82093,1988-03-06,,79431
E00035,Nathan,Lawrence,Male,FL,Orlando,2024-07-22,HR,HR Assistant,Associate Degree,Satisfactory,Yes,42558,1997-12-20,,40430
E00036,Alicia,Warner,Female,TX,Houston,2020-12-05,Sales,Sales Representative,High School Diploma,Needs Improvement,Yes,48726,1989-06-22,2022-03-23,47264
E00037,Amber,Carr,Male,IL,Springfield,2019-12-12,HR,HR Assistant,Associate Degree,Satisfactory,No,38377,1988-12-12,,38377
E00038,Kimberly,Willis,Male,IL,Springfield,2021-02-07,Sales,Sales Manager,Bachelor's Degree,Excellent,No,87067,1989-01-05,,91420
E00039,Kimberly,Thomas,Male,FL,Miami,2015-02-02,IT,System Admin,Bachelor's Degree,Excellent,No,52262,1979-06-21,,54875
E00040,Brandon,Collins,Male,IL,Naperville,2018-11-23,HR,HR Assistant,Associate Degree,Satisfactory,No,48028,1988-01-12,,48028
E00041,Laura,Johnson,Female,TX,Dallas,2016-02-17,Marketing,Marketing Specialist,Associate Degree,Good,Yes,64813,1991-12-24,,59725
E00042,Timothy,Barnes,Male,CA,San Diego,2020-07-08,IT,Developer,Bachelor's Degree,Good,No,89050,1993-11-05,,88827
E00043,Steven,Ramirez,Male,NY,New York,2019-06-27,Sales,Sales Manager,Bachelor's Degree,Excellent,No,87308,1976-03-10,,91673
E00044,Daniel,Day,Female,FL,Tampa,2017-09-10,Sales,Sales Manager,Bachelor's Degree,Excellent,No,90242,1989-03-11,,87315
E00045,Jeffrey,Haley,Male,IL,Naperville,2018-09-27,Finance,Accountant,Bachelor's Degree,Good,No,82026,1979-01-21,,86127
E00046,Tammy,Houston,Female,FL,Miami,2021-08-27,Finance,Financial Analyst,Master's Degree,Excellent,Yes,75352,1981-07-18,,80400
E00047,Caroline,Chung,Female,FL,Tampa,2023-11-01,Finance,Financial Analyst,Master's Degree,Satisfactory,No,83935,1978-04-15,,89558
E00048,Mark,Taylor,Male,NY,Rochester,2022-04-01,Finance,Financial Analyst,Master's Degree,Satisfactory,No,88643,1996-04-27,,92631
E00049,Rebecca,Newton,Male,IL,Springfield,2022-02-10,IT,Developer,Bachelor's Degree,Satisfactory,No,102099,1994-08-08,,101843
E00050,Hector,Mack,Female,FL,Orlando,2018-10-23,HR,HR Assistant,Associate Degree,Good,Yes,44565,1985-06-06,,43228
E00051,Hannah,Jacobs,Female,FL,Orlando,2015-04-09,Marketing,Marketing Specialist,Associate Degree,Needs Improvement,No,47555,1992-01-12,,43821
E00052,Joshua,Henson,Female,CA,Los Angeles,2016-11-06,HR,HR Manager,Bachelor's Degree,Good,No,76893,1977-08-21,2018-08-10,78315
E00053,Cory,King,Male,IL,Naperville,2021-09-04,IT,System Admin,Bachelor's Degree,Satisfactory,No,79067,1979-11-03,,83020
E00054,Jackie,Tran,Female,CA,San Francisco,2018-09-13,Marketing,Marketing Manager,Bachelor's Degree,Excellent,Yes,80306,1989-09-14,,77702
E00055,Lynn,Jackson,Male,IL,Chicago,2015-02-02,HR,HR Manager,Bachelor's Degree,Good,Yes,62517,1968-11-17,,65642
E00056,Carolyn,Nguyen,Female,CA,Los Angeles,2016-12-04,Marketing,Marketing Specialist,Associate Degree,Good,No,56026,1983-07-07,,54345
E00057,Meghan,Wilson,Male,TX,Dallas,2018-01-05,Sales,Sales Representative,High School Diploma,Satisfactory,Yes,57566,1983-08-11,,57566
E00058,Christina,Nelson,Female,CA,San Diego,2019-08-07,Sales,Sales Representative,High School Diploma,Good,No,30690,1984-12-02,,29769
E00059,Kurt,Jordan,Female,CA,San Francisco,2015-01-10,HR,HR Assistant,Associate Degree,Satisfactory,No,40233,1983-01-06,,39026
E00060,Jose,Porter,Female,TX,Austin,2015-01-28,Marketing,Marketing Manager,Bachelor's Degree,Excellent,No,88941,1978-06-23,,90586
E00061,Madison,Oconnell,Female,FL,Tampa,2023-09-15,Finance,Financial Analyst,Master's Degree,Good,No,82498,1978-01-25,2024-12-15,88025
E00062,Katherine,Taylor,Male,TX,Dallas,2019-08-16,HR,HR Manager,Bachelor's Degree,Excellent,No,80772,1989-02-20,,84810
E00063,Robert,Davis,Male,NY,New York,2018-12-04,IT,Developer,Bachelor's Degree,Good,No,70129,1990-12-12,,69953
E00064,Shelley,Huynh,Female,TX,Houston,2021-09-06,Sales,Sales Manager,Bachelor's Degree,Needs Improvement,No,84841,1971-06-08,2022-11-19,86410
E00065,Bridget,Franco,Male,CA,San Diego,2015-01-06,IT,IT Support,Associate Degree,Good,No,49695,1982-06-14,,49695
E00066,Ian,Hutchinson,Male,IL,Naperville,2015-04-18,IT,IT Support,Associate Degree,Good,No,42556,1986-01-23,2016-04-19,40428
E00067,Sandra,Haley,Female,NY,New York,2018-03-30,Marketing,Marketing Specialist,Associate Degree,Good,No,50946,1985-12-28,2019-04-08,49417
E00068,Kristen,Jordan,Female,IL,Chicago,2024-09-22,Finance,Accountant,Bachelor's Degree,Satisfactory,No,84357,1981-09-05,,85917
E00069,Barbara,Rivera,Male,IL,Naperville,2022-09-27,Finance,Accountant,Bachelor's Degree,Good,No,67614,1979-01-25,,70994
E00070,Richard,Adams,Male,FL,Tampa,2021-07-04,Finance,Accountant,Bachelor's Degree,Good,Yes,76604,1975-05-17,,80434
E00071,Amy,Franklin,Male,TX,Austin,2024-01-03,IT,Developer,Bachelor's Degree,Good,No,104293,2000-06-01,,104032
E00072,Donald,Gonzales,Male,IL,Naperville,2015-07-17,Sales,Sales Representative,High School Diploma,Good,No,47895,1988-12-14,,45500
E00073,Kimberly,Sparks,Female,IL,Springfield,2018-08-05,Sales,Sales Manager,Bachelor's Degree,Good,No,73406,1975-02-19,,74764
